n_samples,n_features,feature_mean,feature_std,coeff_variation,pca_explained_variance,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,dataset_name,split,model_name,accuracy,f1_score,auc_roc
154,8,0.007117653112860532,0.9662248212403143,135.75047925481095,0.811615855966155,0.3825092295583694,1.8588731073563582,0.16238468352930216,0,0.9313043502521321,0.9255488180735932,1.794829592705811,Diabetes,val,Naive Bayes,0.7987012987012987,0.6804123711340206,0.8690740740740741
154,8,-0.020168169377579002,1.0703836328830607,-53.072919650952976,0.8307577417953189,0.6415629953949058,2.7599692975915393,0.18726627135234652,0,1.1439637813688859,1.0738715057700983,1.670993952869372,Diabetes,test,Naive Bayes,0.7207792207792207,0.6194690265486725,0.7712962962962964
460,8,0.00436908587992764,0.9865473411530973,225.80177370407657,0.8223880806481259,0.507063675064261,2.720897025107616,0.17314398758076535,0,0.9729030482855795,0.9713021948156723,1.6139281108154235,Diabetes,train,XGBoost,,,
154,8,0.007117653112860532,0.9662248212403143,135.75047925481095,0.811615855966155,0.3825092295583694,1.8588731073563582,0.16238468352930216,0,0.9313043502521321,0.9255488180735932,1.794829592705811,Diabetes,val,XGBoost,0.7402597402597403,0.6296296296296297,0.8118518518518518
154,8,-0.020168169377579002,1.0703836328830607,-53.072919650952976,0.8307577417953189,0.6415629953949058,2.7599692975915393,0.18726627135234652,0,1.1439637813688859,1.0738715057700983,1.670993952869372,Diabetes,test,XGBoost,0.7337662337662337,0.6095238095238096,0.8072222222222222
534,8,-0.0048760171268289075,0.9919800348821628,-203.44063793871288,0.83208801629893,1.5590876782276564,7.8619728603974615,0.15977788368170312,0,0.9835531312906944,0.9966566827083938,0.8336980251190975,Titanic,train,Logistic Regression,,,
178,8,-0.009968485861709871,0.9836529945270497,-98.67626921209536,0.8475328306821567,1.5914383213530794,8.81601366588411,0.1789015209856866,0,0.9662007667827832,0.9408409258487895,0.825736230254575,Titanic,val,Logistic Regression,0.7921348314606742,0.7175572519083969,0.8560828877005349
179,8,0.024459126419614525,1.0388150567179826,42.471470112886976,0.8687004194792991,1.336297128802554,6.042960322600493,0.18107448265449091,0,1.0755523613229376,1.023447260534469,0.850678951492716,Titanic,test,Logistic Regression,0.7988826815642458,0.7313432835820896,0.8342555994729908
534,8,-0.0048760171268289075,0.9919800348821628,-203.44063793871288,0.83208801629893,1.5590876782276564,7.8619728603974615,0.15977788368170312,0,0.9835531312906944,0.9966566827083938,0.8336980251190975,Titanic,train,Random Forest,,,
178,8,-0.009968485861709871,0.9836529945270497,-98.67626921209536,0.8475328306821567,1.5914383213530794,8.81601366588411,0.1789015209856866,0,0.9662007667827832,0.9408409258487895,0.825736230254575,Titanic,val,Random Forest,0.8258426966292135,0.7669172932330827,0.8506684491978611
